record_id,accident_year,age_of_casualty,speed_limit,hour,sex_of_casualty,casualty_severity,road_type,junction_detail,light_conditions,road_surface_conditions
201501BS702081,2015,23,30.0,15,1,3,6,3,1,1
201501BS702191,2015,33,30.0,14,2,3,1,2,1,1
201501BS702311,2015,41,30.0,20,1,3,6,6,4,1
201501BS702341,2015,23,30.0,18,1,3,6,0,1,1
201501BS702451,2015,42,30.0,23,1,3,6,0,4,1
201501BS702531,2015,36,30.0,18,2,3,2,6,1,1
201501BS702581,2015,34,30.0,18,2,3,6,2,1,2
201501BS702601,2015,24,30.0,0,1,3,6,3,4,2
201501BS702611,2015,21,30.0,11,1,3,6,2,1,1
201501BS702641,2015,20,30.0,18,1,3,3,0,1,1
201501BS702652,2015,52,30.0,16,1,3,6,0,1,1
201501BS702711,2015,28,30.0,10,2,3,6,3,1,2
201501BS702761,2015,23,30.0,8,2,3,6,8,1,1
201501BS702821,2015,29,30.0,20,2,3,6,0,4,1
201501BS702831,2015,57,30.0,13,1,3,6,6,1,1
201501BS702881,2015,24,30.0,14,2,3,6,3,1,1
201501BS702901,2015,-1,30.0,8,1,3,6,3,1,1
201501BS702912,2015,-1,30.0,13,1,3,6,0,1,1
201501BS702961,2015,-1,30.0,18,1,3,6,3,1,1
201501BS702971,2015,37,30.0,18,1,3,6,3,1,1
201501BS702981,2015,20,30.0,11,1,3,6,3,1,2
201501BS703041,2015,28,30.0,18,1,3,6,6,1,1
201501BS703071,2015,33,30.0,18,2,3,6,6,1,1
201501BS703081,2015,42,30.0,16,1,3,6,3,1,1
201501BS703091,2015,23,30.0,17,1,3,6,6,1,1
201501BS703101,2015,34,30.0,7,1,3,6,6,1,1
201501BS703181,2015,40,30.0,13,2,3,6,0,1,1
201501BS703321,2015,42,30.0,17,1,3,6,3,1,1
201501BS703411,2015,47,30.0,0,1,3,6,2,4,1
201501BS703451,2015,34,30.0,20,2,3,6,6,1,1
201501BS703481,2015,25,30.0,8,1,3,6,6,1,1
201501BS703501,2015,34,30.0,14,1,3,6,3,1,1
201501BS703551,2015,55,30.0,18,2,3,6,0,1,1
201501BS703561,2015,25,30.0,17,1,3,6,3,1,1
201501BS703761,2015,39,30.0,8,1,3,6,6,1,1
201501BS703781,2015,43,30.0,13,1,3,6,3,1,1
201501BS703801,2015,51,30.0,18,1,3,6,3,1,1
201501BS703821,2015,31,30.0,18,2,3,6,3,1,1
201501BS703871,2015,28,30.0,17,1,3,6,3,1,1
201501BS703881,2015,22,30.0,18,1,3,6,3,1,1
201501BS703901,2015,58,30.0,9,2,3,1,2,1,1
201501BS703951,2015,35,30.0,18,1,3,6,0,1,1
201501BS703961,2015,38,30.0,23,1,3,6,6,4,1
201501BS704001,2015,40,30.0,7,1,3,6,6,1,1
201501BS704031,2015,32,30.0,7,1,3,6,6,1,2
201501BS704041,2015,36,30.0,21,2,3,6,3,4,1
201501BS704051,2015,47,30.0,8,2,3,6,6,1,1
201501BS704131,2015,21,30.0,15,1,3,2,3,1,1
201501BS704201,2015,41,30.0,18,1,3,6,3,1,1
201501BS704241,2015,24,30.0,23,1,3,6,3,4,1
201501BS704261,2015,35,30.0,15,1,2,6,0,1,1
201501BS704281,2015,26,30.0,18,1,3,6,3,1,1
201501BS704301,2015,35,30.0,13,1,3,6,3,1,1
201501BS704331,2015,19,30.0,15,1,3,6,3,1,1
201501BS704361,2015,57,30.0,7,1,3,6,3,1,1
201501BS704381,2015,39,30.0,10,1,3,6,3,1,1
201501BS704401,2015,36,30.0,7,1,3,6,3,1,1
201501BS704451,2015,38,30.0,18,1,3,6,3,1,1
201501BS704461,2015,21,30.0,10,1,3,6,6,1,1
201501BS704471,2015,31,30.0,17,1,3,6,3,1,1
201501BS704481,2015,44,30.0,9,1,3,6,3,1,1
201501BS704501,2015,19,30.0,11,1,3,6,3,1,1
201501BS704591,2015,54,30.0,14,2,2,6,3,1,1
201501BS704631,2015,49,30.0,16,1,3,1,2,1,1
201501BS704641,2015,39,30.0,18,1,3,6,0,1,1
201501BS704642,2015,24,30.0,18,1,3,6,0,1,1
201501BS704661,2015,25,30.0,22,2,3,1,2,4,1
201501BS704701,2015,31,30.0,8,1,3,6,6,1,1
201501BS704781,2015,32,30.0,7,1,3,6,6,1,1
201501BS704871,2015,28,30.0,6,1,3,6,6,1,1
201501BS704881,2015,49,30.0,9,1,3,6,3,1,1
201501BS705091,2015,47,30.0,18,1,3,6,3,1,1
201501BS705101,2015,27,30.0,21,2,3,1,2,4,1
201501BS705391,2015,66,30.0,11,2,3,6,6,1,1
201501BS705441,2015,25,30.0,8,2,3,6,3,1,2
201501BS705461,2015,26,30.0,18,1,3,6,3,1,1
201501BS705541,2015,25,30.0,8,1,3,6,3,1,1
201501BS705571,2015,51,30.0,17,1,3,1,2,1,1
201501BS705581,2015,43,30.0,9,1,3,6,3,1,1
201501BS705591,2015,27,30.0,11,1,3,6,3,1,1
201501BS705611,2015,41,30.0,12,1,2,6,3,1,1
201501BS705651,2015,49,30.0,21,1,3,3,3,4,1
201501BS705691,2015,30,30.0,18,2,3,6,6,4,1
201501BS705711,2015,64,30.0,17,2,2,6,0,1,1
201501BS705741,2015,38,30.0,8,1,3,6,0,1,1
201501BS705761,2015,31,30.0,7,1,3,6,6,1,1
201501BS705791,2015,28,30.0,18,1,3,1,2,1,1
201501BS705801,2015,32,30.0,7,1,3,6,6,1,1
201501BS705811,2015,44,30.0,8,1,3,6,0,1,1
201501BS705831,2015,39,30.0,16,2,3,6,6,1,1
201501BS705911,2015,24,30.0,11,1,3,6,3,1,1
201501BS705941,2015,55,30.0,14,1,3,6,0,1,1
201501BS705951,2015,31,30.0,7,2,3,6,6,1,1
201501BS706021,2015,34,30.0,21,1,3,6,6,4,1
201501BS706031,2015,60,30.0,15,1,2,6,3,1,2
201501BS706061,2015,53,30.0,17,1,3,6,0,1,1
201501BS706151,2015,44,30.0,14,1,3,6,6,1,1
201501BS706231,2015,24,30.0,19,1,3,6,3,4,1
201501BS706311,2015,23,30.0,11,1,3,6,6,1,1
201501BS706511,2015,52,30.0,9,1,3,6,6,1,1
201501BS706731,2015,24,30.0,18,1,3,6,3,4,1
201501BS706791,2015,42,30.0,9,1,3,6,3,1,1
201501BS706851,2015,36,30.0,17,1,3,6,0,4,1
201501BS706861,2015,40,30.0,17,1,3,2,3,4,1
201501BS706901,2015,21,30.0,18,1,3,6,6,4,1
201501BS706941,2015,49,30.0,6,1,3,6,6,4,2
201501BS706961,2015,31,30.0,23,1,3,6,6,4,1
201501BS707031,2015,30,30.0,15,1,3,6,3,1,1
201501BS707051,2015,28,30.0,18,1,3,6,0,4,1
201501BS707161,2015,32,30.0,7,1,3,6,6,1,1
201501BS707391,2015,18,30.0,1,1,3,6,6,4,1
201501BS707431,2015,66,30.0,18,1,3,6,3,4,1
201501BS707511,2015,33,30.0,7,2,3,6,0,1,1
201501BS707551,2015,20,30.0,14,1,3,6,3,1,1
201501BS707591,2015,56,30.0,0,1,3,6,3,4,1
201501BS707611,2015,34,30.0,11,1,3,6,3,1,1
201501BS707651,2015,52,30.0,18,2,3,1,2,4,1
201501BS707661,2015,56,30.0,18,1,3,6,6,4,1
201501BS707701,2015,20,30.0,21,1,3,6,0,4,1
201501BS707901,2015,44,30.0,12,1,3,6,6,1,1
201501CP000011,2015,47,30.0,8,1,3,6,3,1,1
201501CP000041,2015,52,30.0,10,1,3,6,3,1,1
201501CP000101,2015,36,30.0,6,1,3,6,3,4,1
201501CP000111,2015,33,30.0,17,2,3,6,9,4,1
201501CP000151,2015,-1,30.0,14,1,3,6,3,1,1
201501CP000161,2015,34,30.0,23,1,3,6,6,4,1
201501CP000171,2015,50,30.0,18,1,2,6,6,4,1
201501CP000201,2015,35,30.0,19,1,3,6,3,4,1
201501CP000251,2015,32,30.0,12,1,3,6,3,1,1
201501CP000291,2015,29,30.0,8,1,3,6,9,1,1
201501CP000311,2015,25,30.0,8,1,3,6,3,1,1
201501CP000341,2015,48,30.0,10,1,3,6,6,1,1
201501CP000371,2015,23,30.0,17,2,3,6,3,4,1
201501CP000381,2015,32,30.0,20,1,3,6,3,4,1
201501CP000391,2015,35,30.0,7,1,3,6,3,1,1
201501CP000401,2015,44,30.0,7,1,2,2,6,1,1
201501CP000421,2015,31,30.0,17,1,3,6,6,4,1
201501CP000461,2015,31,30.0,13,1,3,6,3,1,1
201501CP000501,2015,30,30.0,13,2,3,6,3,1,1
201501CP000521,2015,27,50.0,9,2,3,3,7,1,1
201501CP000581,2015,50,30.0,19,1,3,6,7,4,1
201501CP000611,2015,47,30.0,11,1,3,2,3,1,1
201501CP000621,2015,34,40.0,8,1,3,3,3,1,1
201501CP000631,2015,33,30.0,10,1,3,2,0,1,1
201501CP000641,2015,-1,30.0,19,1,3,6,6,4,1
201501CP000651,2015,-1,30.0,11,2,3,6,3,1,1
201501CP000701,2015,21,30.0,15,1,3,6,3,1,1
201501CP000711,2015,39,30.0,8,2,3,2,3,1,1
201501CP000731,2015,23,30.0,17,1,3,6,3,1,1
201501CP000801,2015,53,30.0,9,1,3,6,3,1,1
201501CP000841,2015,44,30.0,9,1,3,6,6,1,1
201501CP000861,2015,35,30.0,6,1,3,6,6,1,1
201501CP000871,2015,26,30.0,13,1,3,6,3,1,1
201501CP000881,2015,43,30.0,10,2,2,6,3,1,1
201501CP000931,2015,40,30.0,9,1,3,6,3,1,1
201501CP000941,2015,40,30.0,8,1,3,6,3,1,1
201501CP000951,2015,26,30.0,18,1,3,6,3,1,1
201501CP000981,2015,29,30.0,18,1,3,1,1,1,1
201501CP000991,2015,53,30.0,13,2,3,6,3,1,1
201501CP001051,2015,34,30.0,8,1,3,6,3,1,1
201501CP001061,2015,27,30.0,18,1,3,1,1,1,1
201501CP001091,2015,-1,30.0,17,1,3,1,1,1,1
201501CP001101,2015,36,30.0,17,2,3,6,3,1,1
201501CP001111,2015,33,30.0,11,1,3,6,3,1,1
201501CP001121,2015,41,30.0,19,1,3,6,3,1,1
201501CP001131,2015,28,30.0,16,2,3,6,3,1,1
201501CP001141,2015,39,50.0,18,1,3,3,3,1,1
201501CP001151,2015,41,30.0,20,1,3,6,3,1,1
201501CP001161,2015,33,30.0,18,1,3,6,3,1,1
201501CP001211,2015,34,30.0,10,1,3,6,3,1,1
201501CP001221,2015,37,30.0,19,2,3,6,3,1,1
201501CP001261,2015,30,40.0,8,2,3,3,3,1,2
201501CP001291,2015,29,30.0,17,1,3,6,3,1,1
201501CP001311,2015,3,30.0,7,2,3,6,0,1,1
201501CP001321,2015,36,30.0,14,1,2,6,3,1,1
201501CP001331,2015,31,40.0,21,2,2,3,3,4,1
201501CP001371,2015,54,30.0,15,1,3,6,3,1,1
201501CP001381,2015,51,30.0,10,1,3,6,0,1,1
201501CP001461,2015,35,30.0,18,1,3,6,3,1,1
201501CP001481,2015,25,30.0,17,2,3,6,3,1,1
201501CP001491,2015,44,30.0,15,2,3,6,3,1,1
201501CP001531,2015,50,30.0,17,1,3,6,0,1,1
201501CP001551,2015,21,30.0,20,1,2,6,3,1,1
201501CP001561,2015,26,30.0,8,2,3,6,6,1,1
201501CP001611,2015,46,30.0,9,1,3,6,7,1,1
201501CP001681,2015,45,30.0,7,1,3,6,6,1,1
201501CP001691,2015,42,30.0,7,2,3,6,3,1,1
201501CP001721,2015,28,30.0,18,2,3,1,1,1,1
201501CP001731,2015,59,30.0,8,1,3,6,3,1,1
201501CP001741,2015,42,30.0,8,1,3,6,0,1,1
201501CP001801,2015,29,40.0,8,2,3,3,3,1,1
201501CP001811,2015,26,30.0,8,2,1,6,7,1,1
201501CP001821,2015,33,40.0,8,1,3,3,3,1,1
201501CP001841,2015,50,30.0,17,1,3,6,0,1,1
201501CP001852,2015,32,40.0,8,1,3,3,3,1,1
201501CP001853,2015,32,40.0,8,2,3,3,3,1,1
201501CP001861,2015,32,40.0,17,1,3,3,5,1,1
201501CP001871,2015,-1,40.0,7,1,3,3,6,1,1
201501CP001901,2015,33,30.0,8,1,3,6,3,1,1
201501CP001931,2015,35,30.0,8,1,3,6,3,1,1
201501CP001961,2015,54,40.0,12,1,3,3,3,1,1
201501CP001991,2015,32,30.0,18,1,2,6,3,1,1
201501CP002001,2015,26,30.0,18,1,3,6,3,1,1
201501CP002011,2015,26,40.0,11,2,3,3,3,1,1
201501CP002021,2015,43,40.0,17,1,3,3,3,1,1
201501CP002041,2015,31,30.0,7,1,3,6,3,1,1
201501CP002071,2015,-1,30.0,9,1,2,6,3,1,1
201501CP002091,2015,27,30.0,8,1,3,6,6,1,1
201501CP002111,2015,48,30.0,19,1,2,6,3,1,1
201501CP002161,2015,31,30.0,16,2,3,2,3,1,1
201501CP002171,2015,31,30.0,19,2,3,6,6,1,1
201501CP002181,2015,29,40.0,11,1,3,3,0,1,1
201501CP002251,2015,26,30.0,9,2,3,6,3,1,1
201501CP002311,2015,29,30.0,9,2,2,6,0,1,1
201501CP002321,2015,28,30.0,16,1,3,6,0,1,1
201501CP002381,2015,26,20.0,19,1,3,6,3,1,1
201501CP002411,2015,79,20.0,17,2,3,6,6,1,1
201501CP002441,2015,31,30.0,17,1,3,6,6,1,1
201501CP002481,2015,40,30.0,20,2,3,3,3,1,1
201501CP002491,2015,44,20.0,22,1,3,6,3,4,1
201501CP002511,2015,37,20.0,8,1,3,6,3,1,1
201501CP002541,2015,30,20.0,14,1,3,6,3,1,1
201501CP002551,2015,52,20.0,11,2,3,6,3,1,1
201501CP002561,2015,29,30.0,0,1,3,3,3,4,1
201501CP002581,2015,33,20.0,16,1,3,6,3,1,1
201501CP002591,2015,35,20.0,8,2,2,6,6,1,1
201501CP002621,2015,40,20.0,7,1,3,6,6,1,1
201501CP002661,2015,46,20.0,10,1,3,6,3,1,1
201501CP002671,2015,29,20.0,8,1,3,6,3,1,2
201501CP002691,2015,42,20.0,8,1,3,6,3,1,1
201501CP002721,2015,55,20.0,18,1,3,6,3,1,1
201501CP002791,2015,46,20.0,16,1,3,6,3,1,1
201501CP002811,2015,54,20.0,6,1,3,6,3,4,1
201501CP002831,2015,38,20.0,0,1,3,6,0,4,1
201501CP002841,2015,49,20.0,8,1,3,3,3,1,1
201501CP002851,2015,26,20.0,9,2,3,6,6,1,1
201501CP002861,2015,36,20.0,17,1,3,6,6,1,1
201501CP002881,2015,33,30.0,12,1,2,6,3,1,1
201501CP002901,2015,26,20.0,22,1,3,6,3,4,1
201501CW100121,2015,50,30.0,7,1,3,6,3,4,1
201501CW100341,2015,45,30.0,6,1,3,6,3,4,2
201501CW100361,2015,43,30.0,8,1,3,6,6,1,1
201501CW100371,2015,47,30.0,7,1,3,6,3,1,1
201501CW100491,2015,62,30.0,19,1,3,6,0,4,1
201501CW100571,2015,30,30.0,12,1,3,2,3,1,1
201501CW100612,2015,34,30.0,0,1,3,6,6,4,1
201501CW100651,2015,58,30.0,7,1,3,6,0,1,1
201501CW100711,2015,37,20.0,19,1,3,6,8,4,1
201501CW101101,2015,39,30.0,12,1,3,6,3,1,1
201501CW101131,2015,48,30.0,23,1,3,6,3,4,1
201501CW101161,2015,25,30.0,22,1,3,6,0,4,1
201501CW101181,2015,38,30.0,18,1,3,2,6,4,1
201501CW101231,2015,37,30.0,7,1,3,6,6,1,2
201501CW101251,2015,45,30.0,9,1,3,1,1,1,1
201501CW101261,2015,-1,30.0,10,1,3,6,6,1,1
201501CW101281,2015,36,30.0,8,1,3,6,3,1,2
201501CW101311,2015,49,30.0,17,2,3,2,0,4,1
201501CW101341,2015,24,30.0,6,1,3,2,3,4,2
201501CW101371,2015,29,30.0,1,1,3,6,3,4,1
201501CW101431,2015,50,30.0,8,1,3,6,3,1,1
201501CW101441,2015,39,30.0,17,2,3,6,3,4,1
201501CW101611,2015,18,30.0,22,2,3,6,3,4,1
201501CW101691,2015,-1,30.0,7,1,3,1,1,1,1
201501CW101721,2015,26,30.0,12,1,3,6,6,1,2
201501CW102001,2015,30,30.0,6,1,3,2,0,4,2
201501CW102241,2015,31,30.0,11,1,2,6,3,1,1
201501CW102271,2015,41,30.0,19,1,3,2,3,4,1
201501CW102291,2015,27,30.0,20,1,3,6,3,4,1
201501CW102321,2015,26,30.0,18,1,3,6,3,4,1
201501CW102441,2015,40,30.0,19,1,3,6,6,4,1
201501CW102551,2015,50,30.0,17,1,3,6,6,4,1
201501CW102621,2015,-1,30.0,20,1,3,6,6,4,1
201501CW102651,2015,23,30.0,8,1,3,6,3,1,1
201501CW102661,2015,55,30.0,7,1,3,6,0,1,1
201501CW102691,2015,28,30.0,7,1,3,6,7,1,1
201501CW102751,2015,22,30.0,13,1,3,2,3,1,1
201501CW102771,2015,34,30.0,17,2,3,3,6,1,1
201501CW102781,2015,25,30.0,7,1,3,6,6,1,1
201501CW102811,2015,34,30.0,7,2,3,6,3,1,1
201501CW102831,2015,32,30.0,10,1,3,6,0,1,1
201501CW102841,2015,29,30.0,6,1,3,6,3,1,1
201501CW102881,2015,51,30.0,19,1,3,6,6,4,1
201501CW103081,2015,23,30.0,18,1,3,6,3,4,1
201501CW103091,2015,32,30.0,18,1,3,2,6,4,1
201501CW103181,2015,49,30.0,11,2,3,2,0,1,1
201501CW103231,2015,55,30.0,8,1,3,1,1,1,1
201501CW103261,2015,28,30.0,23,1,3,1,1,4,1
201501CW103331,2015,25,30.0,17,1,3,6,6,1,1
201501CW103371,2015,36,30.0,18,1,3,6,3,4,1
201501CW103391,2015,41,30.0,18,2,3,2,7,1,1
201501CW103481,2015,38,30.0,7,1,3,6,6,1,2
201501CW103541,2015,48,30.0,9,1,3,6,0,1,1
201501CW103601,2015,29,30.0,18,2,3,6,3,1,1
201501CW103671,2015,44,30.0,10,1,2,6,3,1,1
201501CW103881,2015,10,30.0,15,1,3,6,3,1,1
201501CW103911,2015,29,30.0,17,1,3,3,3,1,1
201501CW103961,2015,-1,30.0,6,1,3,2,3,1,1
201501CW104001,2015,30,30.0,9,1,2,3,3,1,1
201501CW104011,2015,26,30.0,9,2,3,3,6,1,1
201501CW104031,2015,42,30.0,20,1,3,6,6,4,1
201501CW104051,2015,32,30.0,13,1,3,6,6,1,1
201501CW104101,2015,31,30.0,8,1,3,2,0,1,1
201501CW104111,2015,26,30.0,10,2,3,2,6,1,1
201501CW104121,2015,28,30.0,8,1,3,6,6,1,1
201501CW104211,2015,-1,30.0,20,1,3,6,3,4,1
201501CW104261,2015,36,30.0,16,2,3,3,3,1,1
201501CW104341,2015,39,30.0,8,1,3,3,6,1,1
201501CW104501,2015,45,30.0,9,1,3,3,3,1,1
201501CW104611,2015,41,30.0,17,1,3,6,9,4,1
201501CW104651,2015,62,30.0,2,1,3,6,3,4,2
201501CW104721,2015,31,30.0,18,2,3,6,0,4,1
201501CW104731,2015,33,30.0,21,1,3,6,0,4,1
201501CW104761,2015,22,30.0,6,1,3,3,6,1,1
201501CW104821,2015,35,30.0,9,2,3,6,6,1,1
201501CW104831,2015,32,30.0,15,1,3,1,1,1,1
201501CW104911,2015,35,30.0,17,2,3,6,0,1,1
201501CW104921,2015,27,30.0,17,2,3,6,3,1,1
201501CW104941,2015,30,30.0,11,1,3,1,1,1,1
201501CW104971,2015,27,30.0,18,1,3,6,6,1,1
201501CW105021,2015,32,30.0,9,1,2,3,3,1,1
201501CW105041,2015,36,30.0,17,1,3,6,3,1,1
201501CW105061,2015,21,30.0,13,1,3,6,3,1,1
201501CW105091,2015,27,30.0,8,1,3,6,3,1,1
201501CW105121,2015,38,30.0,15,2,2,6,3,1,1
201501CW105141,2015,31,30.0,9,1,3,6,3,1,1
201501CW105171,2015,50,30.0,17,2,3,6,3,1,1
201501CW105191,2015,28,30.0,22,2,3,6,0,4,1
201501CW105221,2015,18,30.0,20,1,3,6,6,4,2
201501CW105251,2015,42,30.0,9,2,3,6,3,1,1
201501CW105311,2015,36,30.0,16,2,3,6,8,1,1
201501CW105351,2015,31,30.0,8,1,3,2,3,1,1
201501CW105371,2015,-1,30.0,16,1,3,3,3,1,1
201501CW105411,2015,43,30.0,11,1,3,6,0,1,1
201501CW105591,2015,28,30.0,20,2,3,1,1,4,1
201501CW105721,2015,24,30.0,7,1,3,3,3,1,1
201501CW106121,2015,33,30.0,8,1,3,6,0,1,1
201501CW106251,2015,47,30.0,18,1,3,6,3,1,1
201501CW106321,2015,28,30.0,20,1,3,6,3,4,1
201501CW106431,2015,-1,30.0,9,1,3,6,3,1,1
201501CW106441,2015,35,30.0,10,1,3,6,0,1,1
201501CW106501,2015,50,30.0,17,2,3,6,3,1,1
201501CW106511,2015,30,30.0,16,1,3,6,6,1,1
201501CW106521,2015,35,30.0,7,1,3,3,0,1,1
201501CW106581,2015,31,30.0,17,1,2,6,6,1,1
201501CW106601,2015,34,30.0,19,1,3,3,6,1,2
201501CW106621,2015,28,30.0,0,2,3,6,0,4,1
201501CW106651,2015,16,30.0,17,2,3,6,0,1,1
201501CW106691,2015,49,40.0,18,1,3,3,6,1,1
201501CW106721,2015,26,30.0,21,1,3,6,3,4,1
201501CW106801,2015,30,30.0,11,1,3,6,0,1,1
201501CW106891,2015,42,30.0,15,1,3,6,0,1,1
201501CW106991,2015,33,30.0,9,1,2,3,3,1,1
201501CW107051,2015,45,30.0,9,2,3,6,0,1,1
201501CW107061,2015,34,30.0,18,1,2,6,6,1,1
201501CW107081,2015,43,30.0,8,1,3,6,7,1,1
201501CW107111,2015,19,30.0,1,2,3,6,3,4,1
201501CW107121,2015,24,30.0,11,1,2,6,0,1,1
201501CW107131,2015,45,30.0,0,2,3,1,1,4,1
201501CW107151,2015,19,30.0,11,1,3,6,6,1,2
201501CW107171,2015,34,30.0,20,1,3,6,3,4,1
201501CW107221,2015,22,30.0,20,2,3,6,6,4,1
201501CW107261,2015,53,30.0,10,1,3,1,1,1,1
201501CW107331,2015,53,30.0,9,1,3,6,3,1,1
201501CW107371,2015,38,30.0,11,1,3,6,3,1,1
201501CW107401,2015,43,30.0,19,1,3,6,8,1,1
201501CW107411,2015,30,30.0,12,1,3,6,3,1,1
201501CW107671,2015,39,30.0,9,1,2,3,3,1,1
201501CW107721,2015,44,30.0,8,1,3,6,3,1,1
201501CW107761,2015,28,30.0,8,1,3,6,3,1,1
201501CW107791,2015,36,30.0,9,1,3,6,3,1,1
201501CW107821,2015,-1,30.0,19,2,2,2,3,1,1
201501CW107841,2015,41,30.0,21,1,3,6,3,1,1
201501CW107871,2015,30,30.0,10,1,3,6,6,1,1
201501CW107881,2015,48,30.0,7,1,3,6,3,1,1
201501CW107891,2015,49,30.0,9,1,3,6,8,1,1
201501CW107901,2015,40,30.0,12,1,3,6,0,1,1
201501CW107971,2015,35,30.0,19,1,3,3,3,4,1
201501CW107991,2015,34,30.0,14,2,3,1,1,1,1
201501CW108041,2015,47,30.0,7,1,2,3,3,1,1
201501CW108061,2015,29,30.0,17,1,2,6,3,1,1
201501CW108081,2015,46,30.0,7,1,3,6,0,1,1
201501CW108131,2015,24,30.0,17,1,3,6,3,1,1
201501CW108141,2015,38,30.0,16,1,3,6,6,1,1
201501CW108151,2015,14,30.0,17,1,3,6,6,1,1
201501CW108161,2015,48,30.0,8,1,2,6,3,1,1
201501CW108221,2015,48,30.0,17,1,3,6,0,1,1
201501CW108231,2015,45,30.0,12,2,3,6,3,1,1
201501CW108261,2015,20,30.0,13,2,3,6,0,1,1
201501CW108341,2015,28,30.0,14,1,3,6,3,1,1
201501CW108351,2015,28,30.0,9,2,3,2,3,1,1
201501CW108361,2015,28,30.0,10,1,3,6,0,1,1
201501CW108441,2015,36,30.0,21,1,3,6,6,1,1
201501CW108481,2015,31,30.0,22,1,2,3,3,4,1
201501CW108491,2015,25,30.0,13,1,3,6,3,1,1
201501CW108551,2015,26,30.0,8,1,3,6,3,1,1
201501CW108601,2015,35,30.0,10,1,3,6,3,1,1
201501CW108611,2015,41,30.0,7,1,3,6,0,1,2
201501CW108651,2015,31,30.0,6,1,3,6,3,1,1
201501CW108661,2015,36,30.0,19,1,3,6,6,4,1
201501CW108751,2015,26,30.0,13,1,3,6,0,1,1
201501CW108831,2015,19,30.0,20,1,3,6,6,1,1
201501CW108931,2015,33,30.0,19,1,3,6,3,1,1
201501CW108942,2015,42,30.0,18,1,3,6,0,1,1
201501CW108991,2015,18,30.0,23,1,3,6,6,4,1
201501CW109041,2015,16,30.0,21,2,3,3,3,4,1
201501CW109061,2015,49,30.0,17,1,3,6,6,1,1
201501CW109101,2015,34,30.0,12,1,2,6,8,1,1
201501CW109171,2015,33,30.0,9,1,3,6,3,1,1
201501CW109181,2015,27,30.0,18,1,3,6,0,1,1
201501CW109241,2015,40,30.0,14,2,3,6,0,1,1
201501CW109251,2015,42,30.0,12,2,3,6,3,1,1
201501CW109361,2015,30,30.0,18,1,3,6,3,1,1
201501CW109381,2015,27,30.0,20,1,3,6,6,1,1
201501CW109391,2015,38,30.0,17,1,3,6,3,1,1
201501CW109451,2015,-1,30.0,18,2,2,6,3,1,1
201501CW109471,2015,49,30.0,7,1,3,6,6,1,1
201501CW109541,2015,43,20.0,18,1,3,6,0,1,1
201501CW109551,2015,38,30.0,17,1,3,6,0,1,1
201501CW109561,2015,33,20.0,19,1,3,6,3,1,1
201501CW109591,2015,27,30.0,17,1,3,2,6,1,1
201501CW109601,2015,30,30.0,1,1,3,6,3,4,1
201501CW109611,2015,44,30.0,7,1,3,6,3,1,1
201501CW109721,2015,43,30.0,13,2,2,6,0,1,1
201501CW109771,2015,35,30.0,8,1,3,6,0,1,1
201501CW109791,2015,22,30.0,9,2,2,6,3,1,1
201501CW109801,2015,35,30.0,8,1,3,6,0,1,1
